run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
33,0.0013568868162110448,0.2806538939476013,3.7387783527374268,1.002026915550232,1.143511950969696,0.1414850354194641
34,0.001325291465036571,0.2867529094219208,3.736593723297119,1.0025941133499146,1.1465957164764404,0.14400160312652588
35,0.0011606777552515268,0.26169946789741516,3.7425220012664795,1.0030112266540527,1.1391981840133667,0.13618695735931396
36,0.001197541132569313,0.28070810437202454,3.7381463050842285,1.0011252164840698,1.1429849863052368,0.141859769821167
37,0.0013502027140930295,0.26207754015922546,3.7415270805358887,1.0010840892791748,1.1355273723602295,0.1344432830810547
38,0.0010162682738155127,0.2936239540576935,3.721771478652954,1.0056567192077637,1.1473219394683838,0.14166522026062012
39,0.001471234718337655,0.28111258149147034,3.7340006828308105,1.0005314350128174,1.1444475054740906,0.1439160704612732
40,0.0012892663944512606,0.289713054895401,3.7470734119415283,1.0013203620910645,1.1349595785140991,0.13363921642303467
41,0.001415993901900947,0.26283320784568787,3.754600763320923,1.0011398792266846,1.1366046071052551,0.13546472787857056
42,0.001209760783240199,0.2690750062465668,3.733180046081543,1.002075433731079,1.142418920993805,0.14034348726272583
43,0.0012763412669301033,0.28069353103637695,3.733994245529175,1.0020562410354614,1.145786464214325,0.14373022317886353
44,0.001203560153953731,0.2536603510379791,3.7464041709899902,1.0003479719161987,1.137093961238861,0.13674598932266235
45,0.0011078055249527097,0.2657921314239502,3.7480061054229736,0.9993152618408203,1.1373841166496277,0.13806885480880737
46,0.0013573897304013371,0.24853718280792236,3.7670750617980957,1.0007143020629883,1.1349552273750305,0.13424092531204224
47,0.001299878815189004,0.2878722846508026,3.7538273334503174,1.0042674541473389,1.1450027227401733,0.14073526859283447
48,0.0010028444230556488,0.27735644578933716,3.7582640647888184,1.001096248626709,1.1446635127067566,0.1435672640800476
49,0.0011362514924257994,0.23379133641719818,3.758796453475952,1.0009639263153076,1.1448124051094055,0.1438484787940979
50,0.001366743934340775,0.28309333324432373,3.7435004711151123,1.0013477802276611,1.1393945813179016,0.13804680109024048
51,0.0013014128198847175,0.2752476632595062,3.7143454551696777,1.0053428411483765,1.1482532620429993,0.1429104208946228
52,0.001302286866120994,0.2642464339733124,3.725346088409424,1.0026586055755615,1.1414804458618164,0.13882184028625488
53,0.0013593719340860844,0.2786664068698883,3.7643489837646484,0.9982894659042358,1.1394359469413757,0.1411464810371399
54,0.00129231670871377,0.26182040572166443,3.7231359481811523,1.0029667615890503,1.141892433166504,0.1389256715774536
55,0.001267699059098959,0.268565833568573,3.749774694442749,0.9990561008453369,1.1382665038108826,0.13921040296554565
56,0.0013960798969492316,0.2724130153656006,3.720275640487671,1.0040351152420044,1.1441987752914429,0.14016366004943848
57,0.001355497632175684,0.2641100585460663,3.7551136016845703,1.0003597736358643,1.1476758122444153,0.14731603860855103
58,0.0010904946830123663,0.24882584810256958,3.725950241088867,1.0038611888885498,1.1449784636497498,0.14111727476119995
59,0.0012359315296635032,0.26186317205429077,3.734308958053589,1.0012221336364746,1.145542562007904,0.14432042837142944
60,0.0012814000947400928,0.25166356563568115,3.736604690551758,1.0036872625350952,1.1506892442703247,0.1470019817352295
61,0.0010009203106164932,0.28442203998565674,3.7305307388305664,1.0038179159164429,1.1428710222244263,0.1390531063079834
62,0.0010597100481390953,0.2626182436943054,3.736356496810913,1.002015471458435,1.1397486925125122,0.13773322105407715
63,0.0012003920273855329,0.2505604326725006,3.748560667037964,0.9996289610862732,1.1389854550361633,0.13935649394989014
64,0.0009137303568422794,0.2598268687725067,3.7268218994140625,1.0049868822097778,1.1478247046470642,0.14283782243728638
65,0.0013245863374322653,0.25529322028160095,3.7381770610809326,1.0022653341293335,1.15103679895401,0.1487714648246765
66,0.0011403184616938233,0.2612120807170868,3.7319366931915283,1.0017634630203247,1.1487415432929993,0.14697808027267456
67,0.0012436711695045233,0.262284517288208,3.720144748687744,1.0018808841705322,1.1387435793876648,0.13686269521713257
68,0.00138672289904207,0.24822525680065155,3.743618965148926,1.0031331777572632,1.140171468257904,0.13703829050064087
69,0.0011256514117121696,0.2839184105396271,3.7331342697143555,1.0025371313095093,1.1494779586791992,0.14694082736968994
70,0.0011503825662657619,0.2713283598423004,3.7403690814971924,1.001921534538269,1.1479549407958984,0.1460334062576294
71,0.001459183287806809,0.2514472007751465,3.745516777038574,1.002895712852478,1.148564338684082,0.145668625831604
72,0.0010983968386426568,0.2983286380767822,3.739375591278076,1.001241683959961,1.1416693925857544,0.14042770862579346
73,0.001215555937960744,0.264776349067688,3.747063636779785,1.0015543699264526,1.1440614461898804,0.14250707626342773
74,0.0011577652767300606,0.27539724111557007,3.710252523422241,1.0057295560836792,1.1497496366500854,0.14402008056640625
75,0.0011967220343649387,0.2694121301174164,3.7317581176757812,1.0024073123931885,1.1427826285362244,0.1403753161430359
76,0.0011426901910454035,0.2819763720035553,3.7339179515838623,1.0013794898986816,1.142274796962738,0.1408953070640564
77,0.0012396832462400198,0.2808299660682678,3.7395129203796387,1.0017421245574951,1.1509061455726624,0.14916402101516724
78,0.0012565481010824442,0.28581517934799194,3.7526116371154785,0.9996135830879211,1.1401398181915283,0.14052623510360718
79,0.0010499786585569382,0.2897699773311615,3.752631902694702,1.0020161867141724,1.1449413299560547,0.14292514324188232
80,0.0011392505839467049,0.2980416417121887,3.7142221927642822,1.006018877029419,1.1411760449409485,0.13515716791152954
81,0.0011988714104518294,0.2467544674873352,3.7650370597839355,0.9984719753265381,1.1390418410301208,0.14056986570358276
82,0.0012998635647818446,0.27301323413848877,3.7376344203948975,1.002769947052002,1.1494446396827698,0.14667469263076782
83,0.0014024003176018596,0.26463696360588074,3.73042631149292,1.0013328790664673,1.1426090002059937,0.14127612113952637
84,0.001161219202913344,0.24811941385269165,3.745962142944336,1.0053834915161133,1.1428101062774658,0.13742661476135254
